,seed,N,n,alpha,M,K,OMR,CMR(0.1),ELC(0.1),CMR(0.05),ELC(0.05),CMR(0.01),ELC(0.01)
0,0,2000,1000,0.25,72,1,0.006,0.0,0.0265,0.0,0.032,0.0,0.0435
1,1,2000,1000,0.25,72,1,0.006,0.0020376974019358125,0.0185,0.0010251153254741158,0.0245,0.0,0.038
2,2,2000,1000,0.25,72,1,0.008,0.0005102040816326531,0.02,0.0005120327700972862,0.0235,0.0,0.038
3,3,2000,1000,0.25,72,1,0.0095,0.0,0.022,0.0,0.0275,0.0,0.0395
4,4,2000,1000,0.25,72,1,0.0085,0.0010256410256410256,0.025,0.0005175983436853002,0.034,0.0,0.048
5,5,2000,1000,0.25,72,1,0.011,0.0030864197530864196,0.028,0.0015544041450777201,0.035,0.0005241090146750524,0.046
6,6,2000,1000,0.25,72,1,0.01,0.002041858090862685,0.0205,0.0020512820512820513,0.025,0.0,0.039
7,7,2000,1000,0.25,72,1,0.009,0.002553626149131767,0.021,0.002056555269922879,0.0275,0.0,0.0385
8,8,2000,1000,0.25,72,1,0.0065,0.0,0.02,0.0,0.025,0.0,0.038
