,K,n,alpha,M,init_beta,os_beta,ts_beta,ms_beta,oracle_beta,init_sigma,os_sigma,oracle_sigma
0,1,1000,0.25,72.0,9.773049696640122,7.606478680809368,7.08415345048683,7.088765235899647,6.946382706910371,31.790572158714838,20.409115263652723,19.520938186833984
1,1,1000,0.5,72.0,6.74162808777952,5.070526492704632,4.984733295054581,4.985077749511475,4.945360059691385,18.937690669963718,13.492504827144975,13.514272470307432
2,1,1000,0.75,72.0,5.3525751521659375,4.097354447174122,4.047333319250704,4.047459278562943,4.018528960763233,14.3018533618088,10.930274721396028,10.994204600526853
3,1,1000,1.0,72.0,4.686250321988843,3.5234392260967735,3.5052532533463636,3.505269340763195,3.4900634585340407,11.938730509206579,9.500764832946517,9.525017832563746
4,1,2500,0.25,159.0,4.141837545418852,3.008795252579022,2.962071901722932,2.962225550842849,2.9367688973566723,16.357428584579313,12.122320891980715,12.176917474970423
5,1,2500,0.5,159.0,2.8403739465650144,2.0900675998549305,2.0764301076974205,2.0764449786483805,2.072426518711995,10.38984593885689,8.514381470116849,8.54132934523898
6,1,2500,0.75,159.0,2.303973209684144,1.720829285352413,1.712820905007465,1.7128236848910825,1.7104716910239284,8.089716160098801,6.9610199065816,6.974780197118245
7,1,2500,1.0,159.0,1.9859361983539139,1.4734868063695035,1.4692854860130569,1.4692860444419449,1.466252163255717,6.867863238213225,6.0395899971506966,6.046849856446772
8,1,5000,0.25,293.0,2.142956230539234,1.5507072677938571,1.5368942592140253,1.5369015202908105,1.5301684205284036,10.385548838304215,8.536819092604238,8.565016501211744
9,1,5000,0.5,293.0,1.4855780323514802,1.0697002712271373,1.0675407399796386,1.0675394717192328,1.066244489690328,6.8582710017748845,6.037041545190449,6.04539554196881
10,1,5000,0.75,293.0,1.1896164848903619,0.8712635581776277,0.8682002313523257,0.8682006405245277,0.8675566427922475,5.45501552974859,4.943210806697915,4.9477740821418505
11,1,5000,1.0,293.0,1.0233865018264219,0.7528037939826684,0.7513262758733076,0.7513261837704396,0.7508500638750699,4.65598441353739,4.272846601676548,4.274755488865434
12,2,1000,0.25,72.0,12.66729782495644,13.648234019925665,8.201001872584694,8.266993344757799,8.028376273300463,45.79325044703149,26.828249955373884,16.650011430492675
13,2,1000,0.5,72.0,8.166985405271333,6.417665192014363,5.763766176528547,5.767941744400823,5.70212743630934,27.730866972023243,14.939103158956254,11.563946397028129
14,2,1000,0.75,72.0,6.628277304664033,4.947770004962324,4.705530639886091,4.705611473205486,4.687450497104547,21.06772720783219,11.328237959706456,9.468947362845373
15,2,1000,1.0,72.0,5.50489517899483,4.241698060951502,4.0516219331907175,4.051502314258195,4.027344500969442,17.62412204432506,9.447987803311026,8.182608290584128
16,2,2500,0.25,159.0,5.292745325415025,3.8270062165623795,3.3996698949043194,3.4012465213722987,3.3683180278464167,23.927357640484335,12.887201180544594,10.440796437875571
17,2,2500,0.5,159.0,3.482610331051142,2.488644680998409,2.3603226674271154,2.3604132386380123,2.354210273508156,15.30572052365717,8.213870269190657,7.35333463010642
18,2,2500,0.75,159.0,2.7710795386306515,2.012046908874818,1.955510030229778,1.9554467524606818,1.9528750035780489,12.139525776643758,6.480951372722492,6.005100459936734
19,2,2500,1.0,159.0,2.3495839800416163,1.7297776787826404,1.6798061293116484,1.6797741740590102,1.6762875843036473,10.32481322248049,5.467686876128141,5.164936435929391
20,2,5000,0.25,293.0,2.7700704860599528,1.9008567835226091,1.7645638399718668,1.7645749894959968,1.7557088447528306,15.32057052255509,8.193957429254663,7.358110485557972
21,2,5000,0.5,293.0,1.8416064254887736,1.2797335543578117,1.2430643701693809,1.2430292959354632,1.2379021698833,10.337718883060495,5.477508441099425,5.190323489883328
22,2,5000,0.75,293.0,1.44779278022222,1.0303636834004197,1.0074183887264896,1.00740906078944,1.0049045038381925,8.297820895352112,4.390190588888618,4.240928972611986
23,2,5000,1.0,293.0,1.240647238136649,0.8929637786115396,0.8821099970705931,0.882108292017156,0.879505278137115,7.144275887109177,3.7729858052059173,3.6713063630173113
